sex,C2745_1,C2745_2,Kettin_1,Kettin_2,Tpi_1,Tpi_2,Catalase_1,Catalase_2,C5197_1,C5197_2,Masc_1,Masc_2,Shaker_1,Shaker_2,Ldh_1,Ldh_2
2, 2, 1, 3, 1, 7, 6, 5, 3, 6, 1, 6, 1, 9, 5, 8, 5
2, 9, 1, 1, 2, 2, 1, 2, 2, 3, 6, 5, 6, 4, 10, 6, 4
2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 7, 3, 8, 1, 1, 1, 2
2, 7, 1, 4, 1, 1, 2, 1, 1, 4, 1, 4, 4, 1, 5, 1, 5
2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 1, 3, 2, 1, 3, 1
2, 3, 2, 2, 3, 1, 1, 4, 4, 7, 1, 8, 1, 5, 1, 5, 1
2, 2, 1, 3, 1, 3, 2, 2, 1, 3, 1, 5, 2, 2, 1, 2, 1
2, 7, 11, 4, 1, 1, 2, 1, 1, 4, 1, 4, 2, 1, 3, 1, 3
2, 1, 8, 1, 1, 5, 4, 1, 2, 1, 4, 2, 4, 3, 1, 3, 1
2, 1, 3, 1, 2, 5, 4, 1, 2, 1, 9, 2, 11, 3, 2, 4, 2
2, _, 1, 1, 1, 3, 1, 2, 2, 1, 2, 7, 3, 3, 1, 1, 1
2, 5, 3, 1, 2, 8, 1, 1, 1, 2, 1, 3, 2, 1, 3, 1, 3
2, 11, 1, 1, 1, 2, 2, 1, 2, 1, 3, 2, 12, 3, 2, 3, 7
2, 4, 1, 2, 2, 3, 8, 2, 2, 10, 1, 13, 1, 8, 2, 10, 4
2, 7, 3, 4, 2, 1, 1, 1, 4, 1, 7, 1, 8, 2, 5, 2, 5
2, 1, 4, 1, 2, 2, 3, 1, 2, 1, 3, 4, 5, 5, 3, 5, 1
2, 5, 4, 1, 2, 8, 3, 1, 2, 2, 3, 3, 5, 1, 3, 1, 1
2, 10, 5, 2, 4, 1, 6, 6, 3, 1, 8, 1, 10, 1, 4, 1, 4
2, 8, 1, 2, 1, 5, 4, 2, 1, 4, 1, 4, 1, 4, 1, 6, 2
2, 4, 3, 2, 2, 8, 5, 1, 2, 7, 1, 8, 10, 5, 6, 5, 4
2, 8, 4, 2, 2, 1, 8, 2, 1, 1, 5, 14, 9, 4, 6, 11, 7
2, 1, 1, 1, 1, 5, 2, 1, 2, 4, 1, 4, 14, 1, 6, 1, 1
2, 5, 8, 4, 2, 6, 1, 3, 2, 8, 1, 2, 14, 4, 4, 4, 11
2, 3, 1, 2, 1, 1, 2, 4, 2, 7, 3, 8, 12, 5, 2, 5, 7
2, 1, 1, 1, 1, 5, 2, 1, 1, 1, 9, 2, 11, 3, 6, 3, 2
2, 1, 1, 1, 2, 3, 1, 1, 2, 1, 7, 10, 8, 6, 1, 7, 2
2, 4, 1, 2, 1, 9, 5, 1, 1, 6, 1, 6, 2, 4, 3, 6, 3
2, 6, 2, 2, 3, 4, 1, 2, 1, 1, 2, _, 3, 4, 6, _, 7
2, _, 1, 1, 1, 3, 2, 2, 1, 1, 5, 7, 9, 3, 2, 1, 2
2, 9, 5, 1, 4, 2, 6, 1, 2, 3, 9, 5, 11, 4, 1, 6, 1
2, 4, 2, 2, 1, 3, 2, 2, 1, 10, 1, 13, 4, 8, 5, 10, 5
